Source,Target,Type,Id,Label,timeset,Weight
826285,55276583,Undirected,220,,,2
826285,57604828,Undirected,221,,,2
826285,59451577,Undirected,222,,,2
826285,66787718,Undirected,223,,,2
826285,71817864,Undirected,224,,,2
826285,75322706,Undirected,225,,,2
826285,77761879,Undirected,226,,,2
826285,81017674,Undirected,227,,,2
826285,84871896,Undirected,228,,,2
826285,85036573,Undirected,229,,,2
826285,96126473,Undirected,230,,,2
826285,116570144,Undirected,231,,,2
826285,125663817,Undirected,232,,,2
826285,126775143,Undirected,233,,,2
826285,137906902,Undirected,234,,,2
826285,146939479,Undirected,235,,,2
826285,146992144,Undirected,236,,,2
826285,148391191,Undirected,237,,,2
826285,154794974,Undirected,238,,,2
826285,157965039,Undirected,239,,,2
826285,159215225,Undirected,240,,,2
826285,162068845,Undirected,241,,,2
826285,175247118,Undirected,243,,,2
826285,179791838,Undirected,244,,,2
826285,185242892,Undirected,245,,,2
826285,199888637,Undirected,246,,,2
826285,229556682,Undirected,248,,,2
826285,252291653,Undirected,249,,,2
826285,254462247,Undirected,250,,,2
826285,270723014,Undirected,251,,,2
826285,287641708,Undirected,252,,,2
826285,294045480,Undirected,253,,,2
828254,829182,Undirected,257,,,2
828254,914519,Undirected,258,,,2
828254,1020267,Undirected,259,,,2
828254,1138273,Undirected,260,,,2
828254,1417699,Undirected,261,,,2
828254,1425541,Undirected,262,,,2
828254,1430840,Undirected,263,,,2
828254,1638025,Undirected,264,,,2
828254,1679574,Undirected,265,,,2
828254,1736064,Undirected,266,,,2
828254,2066204,Undirected,267,,,2
828254,2584344,Undirected,268,,,2
828254,2670641,Undirected,269,,,2
828254,2804662,Undirected,270,,,2
828254,2841269,Undirected,271,,,2
828254,2953646,Undirected,272,,,2
828254,3773555,Undirected,273,,,2
828254,4722827,Undirected,274,,,2
828254,6048636,Undirected,275,,,2
828254,6051073,Undirected,276,,,2
828254,6154817,Undirected,277,,,2
828254,6248010,Undirected,278,,,2
828254,6258449,Undirected,279,,,2
828254,7424702,Undirected,280,,,2
828254,7839744,Undirected,281,,,2
828254,7970920,Undirected,282,,,2
